TAMAÑO/PRUEBA,1,2,3,4,5
50,2216,2178,2177,2129,2268
100,5143,5319,5238,5212,5148
500,35944,35980,36011,35865,35901
800,62129,62544,62085,62426,62107
1000,80081,80476,80188,80126,80708
2000,177737,177845,177361,177059,177688
5000,499812,500371,500181,500194,500457
10000,1085802,1085462,1086052,1085413,1086199
