TAMAÑO/PRUEBA,1,2,3,4,5
50,1802,1929,2019,1956,1930
100,7743,7662,7348,7648,7601
500,189345,187353,189992,188393,187805
800,474888,478173,486111,488699,482261
1000,751139,749283,744927,752967,751913
2000,2992074,2982071,3012323,3014432,3008394
5000,18752708,18706521,18771287,18706757,18784282
10000,75076171,75313811,74840776,74909925,75247921
