TAMAÑO/PRUEBA,1,2,3,4,5
50,2760,2786,2757,2770,2762
100,10617,10618,10625,10621,10648
500,253923,253862,253760,253958,254025
800,646579,646720,646544,646527,646577
1000,1008418,1008482,1008557,1008482,1008555
2000,4018370,4018431,4018170,4018293,4018273
5000,25050518,25050291,25050061,25050650,25051446
10000,100108118,100104803,100107056,100106908,100107085
