TAMAÑO/PRUEBA,1,2,3,4,5
50,2192,2152,3330,2634,2770
100,9772,10126,9688,9682,11532
500,257784,247340,258952,251052,254858
800,667944,627568,642460,641334,648864
1000,959056,987492,1006442,1020698,1014772
2000,4058562,3937568,3998506,4017010,3974518
5000,25204366,24670512,25044672,24873624,24898120
10000,100508966,100061516,99412530,100557122,102026524
