TAMAÑO/PRUEBA,1,2,3,4,5
50,2392,2404,2410,2402,2410
100,5634,5624,5622,5610,5616
500,37148,37130,37138,37142,37142
800,64074,64074,64088,64142,64096
1000,82322,82234,82306,82254,82278
2000,180574,180574,180548,180466,180478
5000,506366,506266,506356,506260,506334
10000,1092558,1092540,1092460,1092608,1092398
