TAMAÑO/PRUEBA,1,2,3,4,5
50,521,471,447,503,414
100,1006,1188,1008,1201,1211
500,8415,7260,9262,8742,7455
800,14328,14581,14854,13664,15785
1000,17268,19123,16820,16768,17836
2000,42249,41275,38183,43904,40983
5000,114073,106038,106619,112538,104806
10000,240239,260380,242728,249303,257114
