TAMAÑO/PRUEBA,1,2,3,4,5
50,3239,2861,3434,2981,3101
100,12843,11688,12672,12186,12456
500,302045,306380,321032,316589,327509
800,795185,780053,793850,791729,801833
1000,1257054,1265493,1288632,1239417,1238121
2000,4966130,4992812,5066624,5015129,4945427
5000,31615871,31322840,31368248,31266503,31306535
10000,125354319,124823796,124936716,125049849,125042667
