TAMAÑO/PRUEBA,1,2,3,4,5
50,2843,2833,2855,2837,2852
100,10756,10820,10824,10788,10792
500,254809,254982,254909,255014,254905
800,648310,648284,648595,648269,648043
1000,1010365,1010353,1010406,1010479,1010462
2000,4022408,4021592,4022220,4022535,4022049
5000,25059537,25060188,25059123,25060329,25060593
10000,100127095,100126002,100126789,100128715,100128237
