TAMAÑO/PRUEBA,1,2,3,4,5
50,2916,2730,2676,2706,3208
100,10274,10706,10798,10362,10254
500,250418,253248,253424,236892,250296
800,644450,641918,653568,658654,617062
1000,1016156,1022062,1009996,1028148,1044134
2000,4077354,4006560,3950348,3954842,3978180
5000,24970390,25102554,25013542,25086262,24881844
10000,99275464,99741366,99673610,100241924,100845316
