TAMAÑO/PRUEBA,1,2,3,4,5
50,731,702,863,740,842
100,1871,1823,1717,1655,1845
500,13706,13322,13285,13598,13344
800,25287,23488,21021,22801,22155
1000,26953,29248,28580,28819,29654
2000,62547,64805,66734,68120,65068
5000,186070,176278,182652,174762,185301
10000,427781,412897,420662,437527,425166
